-53.29	61.24	61.06
10.39	35.91	-8.66
-75.93	-24.04	62.07
-80.23	-69.43	85.82
0.18	-0.69	56.52
18.73	-22.1	21.39
-50.3	4.03	84.94
75.28	-82.13	-42.61
30.13	43.86	71.12
5.41	21.2	-99.67
-96.49	57.85	7.99
-55.32	-61.45	-26.17
55.75	64.78	-69.18
-75.48	-3.96	-29.19
-36.82	-63.17	-4.25
-76.33	-43.25	-28.59
-44.3	-85.42	-79.44
-69.03	-3.18	75.74
-47.6	57.96	-9.37
33.78	-13.36	16.97
-64.39	84.78	-72.76
-81.86	43.57	-0.03
-53.75	2.01	55.41
97.24	39.98	-23.68
99.22	72.67	-87.65
-63.29	-20.07	-41.19
44.36	22.56	53.88
-84.93	-11.86	91.64
68.38	49.83	-75.11
-73.15	-17.48	74.3
77.22	-94.2	60.98
37.83	-63.81	94.95
72.75	-52.42	-56.6
-39.88	-52.89	-53.93
42.84	-84.72	-49.51
-86.28	8.3	70.36
-4.72	67.61	91.44
45.22	-94.47	27.46
54.6	20.13	-1.75
-80.78	53.24	-2.79
-20.97	-86.82	-6.23
8.08	24.32	-88.48
-93.31	23.87	-28.82
-8.32	-29.4	-15.6
54.74	-53.16	-8.37
-2.81	84.81	83.47
5.77	-51.96	-1.15
90.91	-11.98	50.8
-26.96	72.69	-74.49
-89.92	-85.3	-83.94
42.96	-43.29	2.73
-92.83	44.9	-77.0
-85.22	-1.3	84.93
13.72	-27.0	-52.35
-38.96	60.78	75.3
18.75	-55.92	70.1
25.38	69.88	51.86
53.64	38.88	-13.92
-12.77	-10.44	-71.27
-24.54	58.28	-94.44
66.05	68.15	-4.77
27.33	89.33	81.63
31.82	-30.46	46.02
46.03	-18.2	52.86
46.05	-9.7	-39.97
-58.05	-14.87	21.35
27.27	59.59	70.52
42.9	11.48	-23.35
-35.6	-54.92	28.44
34.04	60.26	73.07
74.41	22.48	-59.67
-74.84	27.94	92.71
-49.19	34.43	12.52
-11.2	-12.73	-93.03
38.61	35.06	2.12
-44.07	80.27	-66.97
-31.9	39.81	-98.32
27.72	-94.22	-53.75
-54.79	-92.43	-46.98
-75.91	-89.7	64.63
-99.96	98.86	28.97
-45.91	53.5	84.74
21.52	-59.42	71.57
90.53	-9.54	38.73
29.63	-41.8	-22.41
49.8	79.04	34.79
-6.45	66.96	65.92
44.4	43.13	16.16
58.03	-63.67	38.04
-33.48	81.43	-18.13
1.18	-6.31	65.95
-50.49	-51.46	-97.57
58.18	-32.54	-17.97
-69.33	-3.03	-16.32
52.61	-48.33	-42.12
48.23	56.56	49.69
-73.59	-90.47	-93.42
-83.9	-82.14	-41.59
-46.63	19.9	-99.46
22.78	-0.04	-76.78
